kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
19	16	500000	4	16	468	44228608	1499
19	16	500000	4	16	463	44228608	1541
19	16	500000	4	16	466	44228608	1638
19	16	500000	4	16	465	44228608	1599
19	16	500000	4	16	465	44228608	1560
19	16	500000	4	16	460	52617216	1547
19	16	500000	4	16	463	44228608	1495
19	16	500000	4	16	465	44228608	1505
19	17	500000	4	16	278	52617216	1246
19	17	500000	4	16	279	52617216	1259
19	17	500000	4	16	279	52617216	1251
19	17	500000	4	16	278	52617216	1207
19	17	500000	4	16	277	52617216	1279
19	17	500000	4	16	278	52617216	1308
19	17	500000	4	16	277	61005824	1254
19	17	500000	4	16	280	52617216	1240
19	17	500000	4	16	277	44228608	1224
19	17	500000	4	16	278	52617216	1292
19	17	500000	4	16	277	52617216	1271
19	17	500000	4	16	276	52617216	1282
19	17	500000	4	16	279	52617216	1188
19	17	500000	4	16	278	52617216	1280
19	17	500000	4	16	279	52617216	1229
19	17	500000	4	16	278	52617216	1245
19	17	500000	4	16	275	52617216	1273
19	17	500000	4	16	280	61005824	1274
19	17	500000	4	16	277	52617216	1247
19	17	500000	4	16	278	52617216	1246
19	17	500000	4	16	277	52617216	1261
19	17	500000	4	16	280	52617216	1280
19	17	500000	4	16	280	44228608	1258
19	17	500000	4	16	278	52617216	1278
19	17	500000	4	16	280	52617216	1206
19	17	500000	4	16	279	52617216	1266
19	17	500000	4	16	280	52617216	1266
19	17	500000	4	16	278	61005824	1304
19	17	500000	4	16	280	52617216	1259
19	17	500000	4	16	276	52617216	1242
19	18	500000	4	16	165	69394432	1328
19	18	500000	4	16	165	69394432	1392
19	18	500000	4	16	165	69394432	1379
19	18	500000	4	16	165	69394432	1356
19	18	500000	4	16	165	69394432	1388
19	18	500000	4	16	165	69394432	1375
19	18	500000	4	16	165	69394432	1381
19	18	500000	4	16	165	69394432	1379
19	18	500000	4	16	165	69394432	1349
19	18	500000	4	16	165	69394432	1407
19	18	500000	4	16	165	69394432	1319
19	18	500000	4	16	165	61005824	1315
19	18	500000	4	16	165	69394432	1382
19	18	500000	4	16	165	69394432	1401
19	18	500000	4	16	165	69394432	1338
19	18	500000	4	16	165	69394432	1386
19	18	500000	4	16	165	69394432	1348
19	18	500000	4	16	165	69394432	1377
19	18	500000	4	16	165	69394432	1386
19	18	500000	4	16	165	69394432	1355
19	18	500000	4	16	165	69394432	1387
19	18	500000	4	16	165	69394432	1334
19	18	500000	4	16	165	69394432	1393
19	18	500000	4	16	165	69394432	1357
19	18	500000	4	16	165	69394432	1387
19	18	500000	4	16	165	69394432	1345
19	18	500000	4	16	165	69394432	1382
19	18	500000	4	16	165	69394432	1386
19	18	500000	4	16	165	69394432	1386
19	18	500000	4	16	165	69394432	1400
19	19	500000	4	16	101	86171648	1493
19	19	500000	4	16	102	77783040	1516
19	19	500000	4	16	101	94560256	1477
19	19	500000	4	16	101	94560256	1482
19	19	500000	4	16	101	86171648	1450
19	19	500000	4	16	101	94560256	1472
19	19	500000	4	16	101	86171648	1549
19	19	500000	4	16	101	94560256	1704
19	19	500000	4	16	102	77783040	1665
19	19	500000	4	16	101	94560256	1637
19	19	500000	4	16	101	94560256	1634
19	19	500000	4	16	102	77783040	1499
19	19	500000	4	16	102	86171648	1508
