kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
19	16	500000	4	16	464	44228608	1555
19	16	500000	4	16	466	44228608	1579
19	16	500000	4	16	461	44228608	1612
19	16	500000	4	16	467	44228608	1580
19	16	500000	4	16	464	44228608	1623
19	16	500000	4	16	468	44228608	1593
19	16	500000	4	16	466	44228608	1569
19	16	500000	4	16	462	44228608	1625
19	17	500000	4	16	279	52617216	1238
19	17	500000	4	16	280	52617216	1283
19	17	500000	4	16	278	52617216	1261
19	17	500000	4	16	277	52617216	1305
19	17	500000	4	16	280	52617216	1268
19	17	500000	4	16	276	52617216	1270
19	17	500000	4	16	278	52617216	1262
19	17	500000	4	16	278	52617216	1282
19	17	500000	4	16	279	52617216	1254
19	17	500000	4	16	279	52617216	1264
19	17	500000	4	16	276	52617216	1282
19	17	500000	4	16	278	52617216	1269
19	17	500000	4	16	278	52617216	1268
19	17	500000	4	16	279	52617216	1273
19	17	500000	4	16	277	44228608	1279
19	17	500000	4	16	279	52617216	1286
19	17	500000	4	16	277	52617216	1298
19	17	500000	4	16	279	52617216	1254
19	17	500000	4	16	280	52617216	1292
19	17	500000	4	16	276	52617216	1271
19	17	500000	4	16	276	52617216	1281
19	17	500000	4	16	276	52617216	1289
19	17	500000	4	16	280	52617216	1245
19	17	500000	4	16	279	52617216	1260
19	17	500000	4	16	280	52617216	1273
19	17	500000	4	16	277	52617216	1279
19	17	500000	4	16	278	52617216	1266
19	17	500000	4	16	279	52617216	1276
19	17	500000	4	16	279	52617216	1266
19	17	500000	4	16	276	52617216	1261
19	18	500000	4	16	165	69394432	1389
19	18	500000	4	16	165	69394432	1385
19	18	500000	4	16	165	69394432	1388
19	18	500000	4	16	165	69394432	1396
19	18	500000	4	16	165	69394432	1394
19	18	500000	4	16	165	69394432	1393
19	18	500000	4	16	165	69394432	1396
19	18	500000	4	16	165	69394432	1384
19	18	500000	4	16	165	69394432	1377
19	18	500000	4	16	165	69394432	1384
19	18	500000	4	16	165	69394432	1404
19	18	500000	4	16	165	69394432	1381
19	18	500000	4	16	165	69394432	1387
19	18	500000	4	16	165	69394432	1394
19	18	500000	4	16	165	69394432	1379
19	18	500000	4	16	165	69394432	1386
19	18	500000	4	16	165	69394432	1387
19	18	500000	4	16	165	69394432	1394
19	18	500000	4	16	165	69394432	1400
19	18	500000	4	16	165	69394432	1400
19	18	500000	4	16	165	69394432	1391
19	18	500000	4	16	165	69394432	1386
19	18	500000	4	16	165	69394432	1395
19	18	500000	4	16	165	69394432	1394
19	18	500000	4	16	165	69394432	1383
19	18	500000	4	16	165	69394432	1382
19	18	500000	4	16	165	69394432	1402
19	18	500000	4	16	165	69394432	1384
19	18	500000	4	16	165	69394432	1387
19	18	500000	4	16	165	69394432	1385
19	19	500000	4	16	101	86171648	1519
19	19	500000	4	16	101	86171648	1492
19	19	500000	4	16	101	94560256	1517
19	19	500000	4	16	102	77783040	1520
19	19	500000	4	16	101	86171648	1500
19	19	500000	4	16	101	86171648	1499
19	19	500000	4	16	101	86171648	1497
19	19	500000	4	16	101	94560256	1484
19	19	500000	4	16	101	77783040	1525
19	19	500000	4	16	101	86171648	1495
19	19	500000	4	16	101	94560256	1444
19	19	500000	4	16	101	77783040	1513
19	19	500000	4	16	101	94560256	1453
19	19	500000	4	16	101	94560256	1487
19	19	500000	4	16	101	86171648	1479
19	19	500000	4	16	101	86171648	1520
19	19	500000	4	16	101	77783040	1519
19	19	500000	4	16	101	94560256	1508
19	19	500000	4	16	101	86171648	1451
19	19	500000	4	16	102	77783040	1513
19	19	500000	4	16	101	94560256	1467
19	19	500000	4	16	101	94560256	1466
19	19	500000	4	16	101	77783040	1506
19	19	500000	4	16	101	94560256	1495
19	19	500000	4	16	101	102948864	1497
19	19	500000	4	16	101	86171648	1508
19	19	500000	4	16	101	86171648	1487
19	19	500000	4	16	101	77783040	1455
19	19	500000	4	16	101	86171648	1526
19	19	500000	4	16	101	94560256	1511
20	16	500000	4	16	849	77783040	4300
20	16	500000	4	16	853	77783040	4267
20	16	500000	4	16	850	77783040	4687
20	16	500000	4	16	858	77783040	4722
20	16	500000	4	16	858	77783040	4680
20	16	500000	4	16	846	77783040	4606
20	16	500000	4	16	856	77783040	4588
20	16	500000	4	16	856	77783040	4555
20	16	500000	4	16	854	77783040	4563
20	16	500000	4	16	853	77783040	4550
20	16	500000	4	16	853	77783040	4518
20	16	500000	4	16	852	77783040	4507
20	16	500000	4	16	851	77783040	4573
20	16	500000	4	16	859	77783040	4474
20	16	500000	4	16	855	77783040	4335
20	16	500000	4	16	849	77783040	4290
20	16	500000	4	16	852	77783040	4302
20	16	500000	4	16	852	77783040	4252
20	16	500000	4	16	857	77783040	4276
20	16	500000	4	16	853	77783040	4305
